期次,指标,机场,得分
2025Q4,机场交通,深圳宝安国际机场,4.53
2025Q4,机场交通,重庆江北国际机场,4.52
2025Q4,机场交通,上海虹桥国际机场,4.49
2025Q4,机场交通,成都双流国际机场,4.48
2025Q4,机场交通,上海浦东国际机场,4.46
2025Q4,机场交通,西安咸阳国际机场,4.45
2025Q4,机场交通,北京大兴国际机场,4.44
2025Q4,机场交通,大连国际机场,4.44
2025Q4,机场交通,乌鲁木齐天山国际机场,4.43
2025Q4,机场交通,南京禄口国际机场,4.43
2025Q4,机场交通,厦门高崎国际机场,4.42
2025Q4,机场交通,青岛胶东国际机场,4.42
2025Q4,机场交通,无锡硕放国际机场,4.42
2025Q4,机场交通,长沙黄花国际机场,4.41
2025Q4,机场交通,天津滨海国际机场,4.41
2025Q4,机场交通,宁波栎社国际机场,4.41
2025Q4,机场交通,昆明长水国际机场,4.40
2025Q4,机场交通,杭州萧山国际机场,4.40
2025Q4,机场交通,武汉天河国际机场,4.38
2025Q4,机场交通,沈阳桃仙国际机场,4.37
2025Q4,机场交通,郑州新郑国际机场,4.36
2025Q4,机场交通,广州白云国际机场,4.36
2025Q4,机场交通,贵阳龙洞堡国际机场,4.35
2025Q4,机场交通,北京首都国际机场,4.34
2025Q4,机场交通,银川河东国际机场,4.34
2025Q4,机场交通,成都天府国际机场,4.33
2025Q4,机场交通,三亚凤凰国际机场,4.33
2025Q4,机场交通,太原武宿国际机场,4.32
2025Q4,机场交通,海口美兰国际机场,4.32
2025Q4,机场交通,福州长乐国际机场,4.31
2025Q4,机场交通,呼和浩特白塔国际机场,4.30
2025Q4,机场交通,哈尔滨太平国际机场,4.30
2025Q4,机场交通,兰州中川国际机场,4.29
2025Q4,机场交通,温州龙湾国际机场,4.29
2025Q4,机场交通,长春龙嘉国际机场,4.29
2025Q4,机场交通,珠海金湾机场,4.28
2025Q4,机场交通,南宁吴圩国际机场,4.27
2025Q4,机场交通,济南遥墙国际机场,4.24
2025Q4,机场交通,石家庄正定国际机场,4.21
2025Q4,机场交通,合肥新桥国际机场,4.19
2025Q4,机场交通,烟台蓬莱国际机场,4.18
2025Q4,机场交通,南昌昌北国际机场,4.16
2025Q4,机场服务与设施,深圳宝安国际机场,4.51
2025Q4,机场服务与设施,成都天府国际机场,4.50
2025Q4,机场服务与设施,北京大兴国际机场,4.50
2025Q4,机场服务与设施,青岛胶东国际机场,4.48
2025Q4,机场服务与设施,广州白云国际机场,4.47
2025Q4,机场服务与设施,上海虹桥国际机场,4.46
2025Q4,机场服务与设施,南京禄口国际机场,4.45
2025Q4,机场服务与设施,上海浦东国际机场,4.44
2025Q4,机场服务与设施,武汉天河国际机场,4.43
2025Q4,机场服务与设施,厦门高崎国际机场,4.43
2025Q4,机场服务与设施,重庆江北国际机场,4.43
2025Q4,机场服务与设施,杭州萧山国际机场,4.42
2025Q4,机场服务与设施,成都双流国际机场,4.41
2025Q4,机场服务与设施,郑州新郑国际机场,4.40
2025Q4,机场服务与设施,沈阳桃仙国际机场,4.40
2025Q4,机场服务与设施,宁波栎社国际机场,4.39
2025Q4,机场服务与设施,北京首都国际机场,4.39
2025Q4,机场服务与设施,西安咸阳国际机场,4.38
2025Q4,机场服务与设施,济南遥墙国际机场,4.38
2025Q4,机场服务与设施,昆明长水国际机场,4.38
2025Q4,机场服务与设施,无锡硕放国际机场,4.37
2025Q4,机场服务与设施,温州龙湾国际机场,4.37
2025Q4,机场服务与设施,长沙黄花国际机场,4.37
2025Q4,机场服务与设施,石家庄正定国际机场,4.36
2025Q4,机场服务与设施,兰州中川国际机场,4.36
2025Q4,机场服务与设施,烟台蓬莱国际机场,4.36
2025Q4,机场服务与设施,银川河东国际机场,4.35
2025Q4,机场服务与设施,福州长乐国际机场,4.35
2025Q4,机场服务与设施,哈尔滨太平国际机场,4.34
2025Q4,机场服务与设施,海口美兰国际机场,4.33
2025Q4,机场服务与设施,呼和浩特白塔国际机场,4.33
2025Q4,机场服务与设施,贵阳龙洞堡国际机场,4.33
2025Q4,机场服务与设施,合肥新桥国际机场,4.32
2025Q4,机场服务与设施,长春龙嘉国际机场,4.32
2025Q4,机场服务与设施,天津滨海国际机场,4.32
2025Q4,机场服务与设施,大连国际机场,4.31
2025Q4,机场服务与设施,南宁吴圩国际机场,4.31
