期次,机场,得分,来源chunk
2023Q3,北京大兴国际机场,4.19,2023Q3-P09
2023Q3,深圳宝安国际机场,4.18,2023Q3-P09
2023Q3,上海虹桥国际机场,4.17,2023Q3-P09
2023Q3,厦门高崎国际机场,4.17,2023Q3-P09
2023Q3,广州白云国际机场,4.15,2023Q3-P09
2023Q3,重庆江北国际机场,4.15,2023Q3-P09
2023Q3,上海浦东国际机场,4.15,2023Q3-P09
2023Q3,南京禄口国际机场,4.14,2023Q3-P09
2023Q3,成都双流国际机场,4.14,2023Q3-P09
2023Q3,青岛胶东国际机场,4.13,2023Q3-P09
2023Q3,武汉天河国际机场,4.13,2023Q3-P09
2023Q3,长沙黄花国际机场,4.11,2023Q3-P09
2023Q3,成都天府国际机场,4.11,2023Q3-P09
2023Q3,北京首都国际机场,4.10,2023Q3-P09
2023Q3,杭州萧山国际机场,4.10,2023Q3-P09
2023Q3,海口美兰国际机场,4.09,2023Q3-P09
2023Q3,西安咸阳国际机场,4.09,2023Q3-P09
2023Q3,温州龙湾国际机场,4.08,2023Q3-P09
2023Q3,郑州新郑国际机场,4.07,2023Q3-P09
2023Q3,昆明长水国际机场,4.07,2023Q3-P09
2023Q3,三亚凤凰国际机场,4.06,2023Q3-P09
2023Q3,沈阳桃仙国际机场,4.06,2023Q3-P09
2023Q3,福州长乐国际机场,4.06,2023Q3-P09
2023Q3,合肥新桥国际机场,4.05,2023Q3-P09
2023Q3,大连国际机场,4.05,2023Q3-P09
2023Q3,天津滨海国际机场,4.05,2023Q3-P09
2023Q3,哈尔滨太平国际机场,4.04,2023Q3-P09
2023Q3,乌鲁木齐地窝堡国际机场,4.04,2023Q3-P09
2023Q3,贵阳龙洞堡国际机场,4.04,2023Q3-P09
2023Q3,宁波栎社国际机场,4.03,2023Q3-P09
2023Q3,太原武宿国际机场,4.03,2023Q3-P09
2023Q3,银川河东国际机场,4.03,2023Q3-P09
2023Q3,珠海金湾国际机场,4.03,2023Q3-P09
2023Q3,呼和浩特白塔国际机场,4.02,2023Q3-P09
2023Q3,济南遥墙国际机场,4.02,2023Q3-P09
2023Q3,烟台蓬莱国际机场,4.02,2023Q3-P09
2023Q3,长春龙嘉国际机场,4.01,2023Q3-P09
2023Q3,石家庄正定国际机场,4.01,2023Q3-P09
2023Q3,南宁吴圩国际机场,3.99,2023Q3-P09
2023Q3,南昌昌北国际机场,3.98,2023Q3-P09
2023Q3,兰州中川国际机场,3.96,2023Q3-P09
2024Q1,北京大兴国际机场,4.22,2024Q1-P09
2024Q1,深圳宝安国际机场,4.22,2024Q1-P09
2024Q1,上海虹桥国际机场,4.20,2024Q1-P09
2024Q1,厦门高崎国际机场,4.18,2024Q1-P09
2024Q1,重庆江北国际机场,4.18,2024Q1-P09
2024Q1,广州白云国际机场,4.18,2024Q1-P09
2024Q1,上海浦东国际机场,4.17,2024Q1-P09
2024Q1,武汉天河国际机场,4.16,2024Q1-P09
2024Q1,青岛胶东国际机场,4.16,2024Q1-P09
2024Q1,南京禄口国际机场,4.16,2024Q1-P09
2024Q1,成都双流国际机场,4.14,2024Q1-P09
2024Q1,杭州萧山国际机场,4.13,2024Q1-P09
2024Q1,长沙黄花国际机场,4.13,2024Q1-P09
2024Q1,成都天府国际机场,4.12,2024Q1-P09
2024Q1,西安咸阳国际机场,4.12,2024Q1-P09
2024Q1,北京首都国际机场,4.11,2024Q1-P09
2024Q1,温州龙湾国际机场,4.11,2024Q1-P09
2024Q1,海口美兰国际机场,4.10,2024Q1-P09
2024Q1,福州长乐国际机场,4.10,2024Q1-P09
2024Q1,沈阳桃仙国际机场,4.09,2024Q1-P09
2024Q1,宁波栎社国际机场,4.09,2024Q1-P09
2024Q1,郑州新郑国际机场,4.09,2024Q1-P09
2024Q1,天津滨海国际机场,4.09,2024Q1-P09
2024Q1,合肥新桥国际机场,4.08,2024Q1-P09
2024Q1,哈尔滨太平国际机场,4.08,2024Q1-P09
2024Q1,珠海金湾机场,4.08,2024Q1-P09
2024Q1,昆明长水国际机场,4.08,2024Q1-P09
2024Q1,大连国际机场,4.07,2024Q1-P09
2024Q1,三亚凤凰国际机场,4.07,2024Q1-P09
2024Q1,乌鲁木齐地窝堡国际机场,4.07,2024Q1-P09
2024Q1,银川河东国际机场,4.07,2024Q1-P09
2024Q1,烟台蓬莱国际机场,4.06,2024Q1-P09
2024Q1,长春龙嘉国际机场,4.06,2024Q1-P09
