期次,机场,档位,行业平均,来源chunk
2025Q4,上海浦东国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,上海虹桥国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,北京大兴国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,北京首都国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,广州白云国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,成都天府国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,昆明长水国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,杭州萧山国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,深圳宝安国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,西安咸阳国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,重庆江北国际机场,4000万级以上,4.13,2025Q4-P18
2025Q4,乌鲁木齐天山国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,南京禄口国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,厦门高崎国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,成都双流国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,武汉天河国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,海口美兰国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,郑州新郑国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,长沙黄花国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,青岛胶东国际机场,2500万-4000万级,4.11,2025Q4-P19
2025Q4,哈尔滨太平国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,贵阳龙洞堡国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,三亚凤凰国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,兰州中川国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,天津滨海国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,沈阳桃仙国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,济南遥墙国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,福州长乐国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,长春龙嘉国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,大连国际机场,1500万-2500万级,4.09,2025Q4-P20
2025Q4,呼和浩特白塔国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,石家庄正定国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,南宁吴圩国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,南昌昌北国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,合肥新桥国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,太原武宿国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,宁波栎社国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,无锡硕放国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,温州龙湾国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,烟台蓬莱国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,银川河东国际机场,1000万-1500万级,4.05,2025Q4-P21
2025Q4,珠海金湾机场,1000万-1500万级,4.05,2025Q4-P21
